metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
http_reqs,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_duration,1654611847,6.665000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_blocked,1654611847,2.817000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_connecting,1654611847,2.717000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_tls_handshaking,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_sending,1654611847,0.377000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_waiting,1654611847,6.288000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_receiving,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_failed,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_reqs,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_duration,1654611847,6.502000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_blocked,1654611847,3.057000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_connecting,1654611847,2.995000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_tls_handshaking,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_sending,1654611847,0.179000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_waiting,1654611847,6.323000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_receiving,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_failed,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_reqs,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_duration,1654611847,6.573000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_blocked,1654611847,2.939000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_connecting,1654611847,2.875000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_tls_handshaking,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_sending,1654611847,0.167000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_waiting,1654611847,6.406000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_receiving,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_failed,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_reqs,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_duration,1654611847,6.929000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_blocked,1654611847,2.725000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_connecting,1654611847,2.653000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_tls_handshaking,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_sending,1654611847,0.083000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_waiting,1654611847,6.846000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_receiving,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_failed,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_reqs,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_duration,1654611847,6.670000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_blocked,1654611847,3.156000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_connecting,1654611847,3.035000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_tls_handshaking,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_sending,1654611847,0.103000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_waiting,1654611847,6.567000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_receiving,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_failed,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
checks,1654611847,0.000000,status is 200,,,,,,,,default,,,,,,
http_reqs,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_duration,1654611847,6.648000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_blocked,1654611847,3.176000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_connecting,1654611847,3.089000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_tls_handshaking,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_sending,1654611847,0.093000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_waiting,1654611847,6.555000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_receiving,1654611847,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_failed,1654611847,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
checks,1654611847,0.000000,status is 200,,,,,,,,default,,,,,,
